,Subject,Condition,Emotion,Block,Image,IntrusionRating,Timing,Length
338,35QSY,DecodingThink,Neutral,5,Animals_155_v.jpg,1,1310,20
339,35QSY,DecodingThink,Emotion,5,Faces_296_h.jpg,1,760,20
340,35QSY,DecodingThink,Emotion,5,Objects_106_v.jpg,2,1390,20
341,35QSY,DecodingThink,Neutral,5,People_149_h.jpg,1,2650,20
342,35QSY,DecodingThink,Emotion,6,Objects_021_v.jpg,1,2300,20
343,35QSY,DecodingThink,Emotion,6,Faces_296_h.jpg,2,1030,20
344,35QSY,DecodingThink,Emotion,6,Faces_296_h.jpg,2,2450,20
345,35QSY,DecodingThink,Emotion,6,Objects_106_v.jpg,1,2590,20
346,35QSY,DecodingThink,Emotion,6,Animals_018_h.jpg,1,340,20
347,35QSY,DecodingThink,Emotion,6,Objects_013_h.jpg,1,2060,20
348,35QSY,DecodingThink,Emotion,6,Objects_013_h.jpg,1,2130,20
349,35QSY,DecodingThink,Emotion,6,People_247_v.jpg,1,260,20
350,35QSY,DecodingThink,Emotion,6,People_247_v.jpg,1,1030,20
351,35QSY,DecodingThink,Neutral,6,People_151_h.jpg,2,2410,20
352,35QSY,DecodingThink,Neutral,6,People_028_h.jpg,1,350,20
353,35QSY,DecodingThink,Neutral,6,Animals_155_v.jpg,1,420,20
354,35QSY,DecodingThink,Neutral,6,People_149_h.jpg,1,280,20
